Seq#,tTrig,StPos,Tvp,Tva,Trnout,Tmot,EndPos,LagPos,TgtPos,MotErr,DifPos,Tgt+/-,Rot,Ttotal
1,3251,61,53,0,40,40,61,60,0,0,-1,60,0,501
2,3252,61,53,0,40,40,60,60,0,1,0,60,0,501
3,3253,61,53,0,40,40,60,60,0,1,0,60,0,501
4,3254,61,53,1,40,41,60,60,0,1,0,60,0,501
5,3255,60,52,0,40,40,61,61,0,0,0,61,0,501
6,3256,61,53,0,40,40,61,60,0,0,-1,60,0,501
7,3257,61,53,0,40,40,61,60,0,0,-1,60,0,501
8,3258,61,53,0,40,40,61,60,0,0,-1,60,0,501
9,3259,60,52,0,40,40,61,60,0,1,-1,60,0,501
10,3260,60,52,0,40,40,61,61,0,0,0,61,0,501
11,3261,60,52,0,40,40,60,61,0,1,1,61,0,501
12,3262,60,52,0,40,40,61,61,0,1,0,61,0,501
13,3263,60,52,0,40,40,61,61,0,1,0,61,0,501
14,3264,60,52,0,40,40,60,61,0,0,1,61,0,501
15,3265,60,52,0,40,40,60,61,0,0,1,61,0,501
16,3267,61,53,0,40,40,60,60,0,0,0,60,0,501
17,3268,60,52,0,40,40,60,61,0,0,1,61,0,501
18,3269,60,52,0,40,40,60,61,0,0,1,61,0,501
19,3270,61,53,0,40,40,60,60,0,0,0,60,0,501
20,3271,61,53,0,40,40,60,60,0,0,0,60,0,501
21,3272,61,53,0,40,40,60,60,0,0,0,60,0,501
22,3273,61,53,0,40,40,60,60,0,1,0,60,0,501
23,3274,61,53,0,40,40,61,60,0,0,-1,60,0,501
24,3275,61,53,0,40,40,60,60,0,1,0,60,0,501
25,3276,60,52,0,40,40,61,60,0,0,-1,60,0,501
26,3277,60,52,0,40,40,61,60,0,0,-1,60,0,501
27,3278,61,53,0,40,40,61,60,0,1,-1,60,0,501
28,3279,60,52,0,40,40,61,60,0,1,-1,60,0,501
29,3280,60,52,0,40,40,61,60,0,0,-1,60,0,501
30,3281,60,52,0,40,40,61,61,0,1,0,61,0,501
31,3282,60,52,0,40,40,61,61,0,1,0,61,0,501
32,3284,60,52,0,40,40,61,61,0,1,0,61,0,501
33,3285,60,52,0,40,40,61,61,0,1,0,61,0,501
34,3286,60,52,0,40,40,61,61,0,1,0,61,0,501
35,3287,60,52,0,40,40,60,61,0,0,1,61,0,501
36,3288,61,53,0,40,40,60,60,0,0,0,60,0,501
37,3289,60,52,0,40,40,60,61,0,0,1,61,0,502
38,3290,60,52,0,40,40,60,61,0,0,1,61,0,501
39,3291,60,52,0,40,40,60,60,0,0,0,60,0,501
40,3292,61,53,0,40,40,60,60,0,1,0,60,0,500
41,3293,61,53,0,40,40,60,60,0,0,0,60,0,501
42,3294,61,53,0,40,40,60,60,0,0,0,60,0,501
43,3295,61,53,0,40,40,60,60,0,1,0,60,0,501
44,3296,61,53,0,40,40,60,60,0,1,0,60,0,501
